TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202604241200,0.041,1.049,0.800,0.208,1.049,0.800,1.049,0.800,1.049
202604241206,0.058,,,,,,,,
202604241212,0.076,1.069,,,,,,,
202604241218,0.095,,,,,,,,
202604241224,0.114,1.118,,,,,,,
202604241230,0.135,,,,,,,,
202604241236,0.157,1.161,,,,,,,
202604241242,0.180,,,,,,,,
202604241248,0.203,1.190,,,,,,,
202604241254,0.228,,,,,,,,
202604241300,0.253,1.239,0.800,0.186,1.239,0.800,1.239,0.900,1.339
202604241306,0.279,1.259,,,,,,,
202604241312,0.305,1.279,,,,,,,
202604241318,0.333,1.318,,,,,,,
202604241324,0.360,1.348,,,,,,,
202604241330,0.389,1.371,,,,,,,
202604241336,0.417,1.390,,,,,,,
202604241342,0.446,1.420,,,,,,,
202604241348,0.476,1.459,,,,,,,
202604241354,0.505,1.469,,,,,,,
202604241400,0.535,1.498,0.800,0.163,1.498,0.800,1.498,0.900,1.598
202604241406,0.565,1.528,,,,,,,
202604241412,0.595,1.557,,,,,,,
202604241418,0.625,1.571,,,,,,,
202604241424,0.655,1.610,,,,,,,
202604241430,0.685,1.630,,,,,,,
202604241436,0.714,1.649,,,,,,,
202604241442,0.744,1.679,,,,,,,
202604241448,0.773,1.708,,,,,,,
202604241454,0.802,1.738,,,,,,,
202604241500,0.830,1.758,0.800,0.128,1.758,0.800,1.758,0.900,1.858
202604241506,0.858,1.781,,,,,,,
202604241512,0.886,1.790,,,,,,,
202604241518,0.913,1.830,,,,,,,
202604241524,0.940,1.840,,,,,,,
202604241530,0.966,1.879,,,,,,,
202604241536,0.992,1.899,,,,,,,
202604241542,1.017,1.908,,,,,,,
202604241548,1.041,1.938,,,,,,,
202604241554,1.066,1.958,,,,,,,
202604241600,1.089,1.981,0.800,0.092,1.981,0.800,1.981,0.900,2.081
202604241606,1.112,2.000,,,,,,,
202604241612,1.135,2.030,,,,,,,
202604241618,1.157,2.040,,,,,,,
202604241624,1.178,2.069,,,,,,,
202604241630,1.199,2.089,,,,,,,
202604241636,1.220,2.109,,,,,,,
202604241642,1.240,2.128,,,,,,,
202604241648,1.259,2.138,,,,,,,
202604241654,1.278,2.158,,,,,,,
202604241700,1.297,2.177,0.900,-0.020,2.177,0.800,2.077,0.900,2.177
202604241706,1.315,2.200,,,,,,,
202604241712,1.333,2.210,,,,,,,
202604241718,1.351,2.230,,,,,,,
202604241724,1.369,2.240,,,,,,,
202604241730,1.386,2.259,,,,,,,
202604241736,1.402,2.259,,,,,,,
202604241742,1.419,2.289,,,,,,,
202604241748,1.435,2.309,,,,,,,
202604241754,1.451,2.318,,,,,,,
202604241800,1.467,2.318,0.900,-0.049,2.318,0.800,2.218,0.900,2.318
202604241806,1.483,2.348,,,,,,,
202604241812,1.498,2.368,,,,,,,
202604241818,1.513,2.377,,,,,,,
202604241824,1.529,2.400,,,,,,,
202604241830,1.544,2.400,,,,,,,
202604241836,1.559,2.410,,,,,,,
202604241842,1.573,2.430,,,,,,,
202604241848,1.588,2.450,,,,,,,
202604241854,1.603,2.469,,,,,,,
202604241900,1.617,2.479,0.900,-0.038,2.479,0.800,2.379,0.900,2.479
202604241906,1.632,2.499,,,,,,,
202604241912,1.646,2.499,,,,,,,
202604241918,1.660,2.509,,,,,,,
202604241924,1.674,2.528,,,,,,,
202604241930,1.688,2.538,,,,,,,
202604241936,1.702,2.558,,,,,,,
202604241942,1.716,2.558,,,,,,,
202604241948,1.730,2.578,,,,,,,
202604241954,1.743,2.568,,,,,,,
202604242000,1.756,2.597,0.900,-0.059,2.597,0.900,2.597,0.900,2.597
202604242006,1.769,2.610,,,,,,,
202604242012,1.782,2.620,,,,,,,
202604242018,1.795,2.620,,,,,,,
202604242024,1.807,2.650,,,,,,,
202604242030,1.819,2.650,,,,,,,
202604242036,1.831,2.660,,,,,,,
202604242042,1.842,2.660,,,,,,,
202604242048,1.853,2.679,,,,,,,
202604242054,1.863,2.669,,,,,,,
202604242100,1.873,2.679,0.900,-0.094,2.679,0.900,2.679,0.900,2.679
202604242106,1.882,2.699,,,,,,,
202604242112,1.891,2.709,,,,,,,
202604242118,1.899,2.699,,,,,,,
202604242124,1.906,2.728,,,,,,,
202604242130,1.913,2.719,,,,,,,
202604242136,1.919,2.738,,,,,,,
202604242142,1.924,2.728,,,,,,,
202604242148,1.928,2.738,,,,,,,
202604242154,1.932,2.738,,,,,,,
202604242200,1.935,2.738,0.900,-0.097,2.738,0.900,2.738,0.900,2.738
202604242206,1.937,2.738,,,,,,,
202604242212,1.937,2.748,,,,,,,
202604242218,1.938,2.728,,,,,,,
202604242224,1.937,2.728,,,,,,,
202604242230,1.935,2.738,,,,,,,
202604242236,1.932,2.719,,,,,,,
202604242242,1.929,2.728,,,,,,,
202604242248,1.924,2.719,,,,,,,
202604242254,1.919,2.719,,,,,,,
202604242300,1.913,2.719,0.900,-0.094,2.719,0.900,2.719,0.900,2.719
202604242306,1.906,2.709,,,,,,,
202604242312,1.898,2.709,,,,,,,
202604242318,1.890,2.709,,,,,,,
202604242324,1.880,2.709,,,,,,,
202604242330,1.870,2.689,,,,,,,
202604242336,1.860,2.679,,,,,,,
202604242342,1.848,2.679,,,,,,,
202604242348,1.837,2.669,,,,,,,
202604242354,1.824,2.669,,,,,,,
202604250000,1.812,2.679,0.900,-0.033,2.679,0.900,2.679,0.900,2.679
202604250006,1.798,2.660,,,,,,,
202604250012,1.785,2.650,,,,,,,
202604250018,1.771,2.650,,,,,,,
202604250024,1.757,2.630,,,,,,,
202604250030,1.743,2.620,,,,,,,
202604250036,1.728,2.630,,,,,,,
202604250042,1.714,2.630,,,,,,,
202604250048,1.699,2.630,,,,,,,
202604250054,1.685,2.620,,,,,,,
202604250100,1.670,2.620,0.900,0.050,2.620,0.900,2.620,1.000,2.720
202604250106,1.655,2.620,,,,,,,
202604250112,1.641,2.610,,,,,,,
202604250118,1.626,2.610,,,,,,,
202604250124,1.612,2.597,,,,,,,
202604250130,1.597,2.597,,,,,,,
202604250136,1.583,2.597,,,,,,,
202604250142,1.569,2.587,,,,,,,
202604250148,1.554,2.587,,,,,,,
202604250154,1.540,2.587,,,,,,,
202604250200,1.526,2.578,1.000,0.052,2.578,0.900,2.478,1.000,2.578
202604250206,1.512,2.568,,,,,,,
202604250212,1.498,2.548,,,,,,,
202604250218,1.484,2.548,,,,,,,
202604250224,1.470,2.528,,,,,,,
202604250230,1.456,2.538,,,,,,,
202604250236,1.442,2.528,,,,,,,
202604250242,1.428,2.499,,,,,,,
202604250248,1.414,2.489,,,,,,,
202604250254,1.399,2.489,,,,,,,
202604250300,1.385,2.450,1.000,0.065,2.450,1.000,2.450,1.000,2.450
202604250306,1.370,2.459,,,,,,,
202604250312,1.355,2.440,,,,,,,
202604250318,1.340,2.430,,,,,,,
202604250324,1.324,2.420,,,,,,,
202604250330,1.309,2.387,,,,,,,
202604250336,1.292,2.400,,,,,,,
202604250342,1.276,2.368,,,,,,,
202604250348,1.259,2.338,,,,,,,
202604250354,1.242,2.328,,,,,,,
202604250400,1.225,2.309,1.000,0.084,2.309,1.000,2.309,1.000,2.309
202604250406,1.207,2.259,,,,,,,
202604250412,1.189,2.240,,,,,,,
202604250418,1.170,2.200,,,,,,,
202604250424,1.152,2.177,,,,,,,
202604250430,1.132,2.158,,,,,,,
202604250436,1.113,2.128,,,,,,,
202604250442,1.093,2.099,,,,,,,
202604250448,1.073,2.049,,,,,,,
202604250454,1.052,2.000,,,,,,,
202604250500,1.031,1.967,1.000,-0.064,1.967,1.000,1.967,1.000,1.967
202604250506,1.010,1.938,,,,,,,
202604250512,0.989,1.899,,,,,,,
202604250518,0.967,1.859,,,,,,,
202604250524,0.945,1.820,,,,,,,
202604250530,0.923,1.781,,,,,,,
202604250536,0.900,1.767,,,,,,,
202604250542,0.878,1.738,,,,,,,
202604250548,0.855,1.708,,,,,,,
202604250554,0.832,1.679,,,,,,,
202604250600,0.809,1.649,0.900,-0.060,1.649,0.800,1.549,0.900,1.649
202604250606,0.787,1.620,,,,,,,
202604250612,0.763,1.590,,,,,,,
202604250618,0.740,1.571,,,,,,,
202604250624,0.717,1.557,,,,,,,
202604250630,0.694,1.518,,,,,,,
202604250636,0.672,1.498,,,,,,,
202604250642,0.649,1.498,,,,,,,
202604250648,0.626,1.479,,,,,,,
202604250654,0.604,1.439,,,,,,,
202604250700,0.581,1.420,0.800,0.039,1.420,0.800,1.420,0.900,1.520
202604250706,0.559,1.390,,,,,,,
202604250712,0.538,1.361,,,,,,,
202604250718,0.516,1.348,,,,,,,
202604250724,0.495,1.328,,,,,,,
202604250730,0.474,1.298,,,,,,,
202604250736,0.454,1.289,,,,,,,
202604250742,0.434,1.279,,,,,,,
202604250748,0.415,1.269,,,,,,,
202604250754,0.396,1.239,,,,,,,
202604250800,0.378,1.220,0.800,0.042,1.220,0.800,1.220,0.800,1.220
202604250806,0.360,1.210,,,,,,,
202604250812,0.343,1.180,,,,,,,
202604250818,0.326,1.180,,,,,,,
202604250824,0.310,1.161,,,,,,,
202604250830,0.295,1.161,,,,,,,
202604250836,0.280,1.151,,,,,,,
202604250842,0.266,1.138,,,,,,,
202604250848,0.253,1.128,,,,,,,
202604250854,0.240,1.118,,,,,,,
202604250900,0.228,1.128,0.800,0.100,1.128,0.700,1.028,0.800,1.128
202604250906,0.217,1.118,,,,,,,
202604250912,0.207,1.098,,,,,,,
202604250918,0.197,1.079,,,,,,,
202604250924,0.188,1.079,,,,,,,
202604250930,0.180,1.079,,,,,,,
202604250936,0.172,1.069,,,,,,,
202604250942,0.165,1.069,,,,,,,
202604250948,0.159,1.049,,,,,,,
202604250954,0.153,1.059,,,,,,,
202604251000,0.148,1.069,0.700,0.221,1.069,0.700,1.069,0.800,1.169
202604251006,0.144,1.059,,,,,,,
202604251012,0.140,1.059,,,,,,,
202604251018,0.137,1.059,,,,,,,
202604251024,0.134,1.049,,,,,,,
202604251030,0.133,1.049,,,,,,,
202604251036,0.131,1.059,,,,,,,
202604251042,0.131,1.059,,,,,,,
202604251048,0.131,1.079,,,,,,,
202604251054,0.131,1.079,,,,,,,
202604251100,0.133,1.098,0.700,0.265,1.098,0.700,1.098,0.700,1.098
202604251106,0.134,1.108,,,,,,,
202604251112,0.137,1.118,,,,,,,
202604251118,0.140,1.161,,,,,,,
202604251124,0.144,1.190,,,,,,,
202604251130,0.148,1.229,,,,,,,
202604251136,0.153,1.128,,,,,,,
202604251142,0.159,0.980,,,,,,,
202604251148,0.165,1.151,,,,,,,
202604251154,0.172,1.118,,,,,,,
202604251200,0.180,0.941,0.600,0.161,0.941,0.600,0.941,0.700,1.041
202604251206,0.189,0.839,,,,,,,
202604251212,0.198,0.918,,,,,,,
202604251218,0.208,0.898,,,,,,,
202604251224,0.219,0.770,,,,,,,
202604251230,0.231,0.810,,,,,,,
202604251236,0.243,0.869,,,,,,,
202604251242,0.257,0.879,,,,,,,
202604251248,0.271,0.941,,,,,,,
202604251254,0.286,0.970,,,,,,,
202604251300,0.302,0.928,0.600,0.026,0.928,0.600,0.928,0.700,1.028
202604251306,0.318,0.918,,,,,,,
202604251312,0.336,0.928,,,,,,,
202604251318,0.354,1.029,,,,,,,
202604251324,0.373,1.069,,,,,,,
202604251330,0.393,1.138,,,,,,,
202604251336,0.414,1.239,,,,,,,
202604251342,0.435,1.298,,,,,,,
202604251348,0.457,1.361,,,,,,,
202604251354,0.480,1.400,,,,,,,
202604251400,0.503,1.420,0.600,0.317,1.420,0.600,1.420,0.600,1.420
202604251406,0.527,1.410,,,,,,,
202604251412,0.551,1.489,,,,,,,
202604251418,0.576,1.508,,,,,,,
202604251424,0.601,1.528,,,,,,,
202604251430,0.626,1.571,,,,,,,
202604251436,0.652,1.600,,,,,,,
202604251442,0.677,1.639,,,,,,,
202604251448,0.703,1.669,,,,,,,
202604251454,0.729,1.689,,,,,,,
202604251500,0.755,1.708,0.600,0.353,1.708,0.600,1.708,0.600,1.708
202604251506,0.781,1.728,,,,,,,
202604251512,0.806,1.781,,,,,,,
202604251518,0.832,1.849,,,,,,,
202604251524,0.857,1.899,,,,,,,
202604251530,0.882,1.899,,,,,,,
202604251536,0.906,1.938,,,,,,,
202604251542,0.930,1.928,,,,,,,
202604251548,0.954,1.958,,,,,,,
202604251554,0.977,1.967,,,,,,,
202604251600,0.999,1.990,0.600,0.391,1.990,0.600,1.990,0.700,2.090
202604251606,1.021,2.020,,,,,,,
202604251612,1.042,2.030,,,,,,,
202604251618,1.063,2.059,,,,,,,
202604251624,1.083,2.089,,,,,,,
202604251630,1.102,2.109,,,,,,,
202604251636,1.120,2.118,,,,,,,
202604251642,1.138,2.118,,,,,,,
202604251648,1.155,2.128,,,,,,,
202604251654,1.172,2.148,,,,,,,
202604251700,1.187,2.148,0.600,0.361,2.148,0.600,2.148,0.700,2.248
202604251706,1.202,2.128,,,,,,,
202604251712,1.217,2.118,,,,,,,
202604251718,1.230,2.109,,,,,,,
202604251724,1.244,2.109,,,,,,,
202604251730,1.256,2.099,,,,,,,
202604251736,1.268,2.079,,,,,,,
202604251742,1.279,2.059,,,,,,,
202604251748,1.290,2.059,,,,,,,
202604251754,1.300,2.040,,,,,,,
202604251800,1.310,2.040,0.700,0.030,2.040,0.700,2.040,0.700,2.040
202604251806,1.319,2.040,,,,,,,
202604251812,1.328,2.040,,,,,,,
202604251818,1.336,2.059,,,,,,,
202604251824,1.344,2.049,,,,,,,
202604251830,1.352,2.079,,,,,,,
202604251836,1.359,2.079,,,,,,,
202604251842,1.366,2.079,,,,,,,
202604251848,1.373,2.099,,,,,,,
202604251854,1.380,2.128,,,,,,,
202604251900,1.387,2.158,0.700,0.071,2.158,0.700,2.158,0.700,2.158
202604251906,1.393,2.168,,,,,,,
202604251912,1.399,2.168,,,,,,,
202604251918,1.405,2.191,,,,,,,
202604251924,1.412,2.210,,,,,,,
202604251930,1.418,2.250,,,,,,,
202604251936,1.424,2.299,,,,,,,
202604251942,1.430,2.338,,,,,,,
202604251948,1.436,2.387,,,,,,,
202604251954,1.443,2.420,,,,,,,
202604252000,1.449,2.440,0.700,0.291,2.440,0.700,2.440,0.700,2.440
202604252006,1.455,2.479,,,,,,,
202604252012,1.462,2.519,,,,,,,
202604252018,1.468,2.558,,,,,,,
202604252024,1.475,2.587,,,,,,,
202604252030,1.482,2.620,,,,,,,
202604252036,1.489,2.630,,,,,,,
202604252042,1.495,2.630,,,,,,,
202604252048,1.502,2.679,,,,,,,
202604252054,1.509,2.709,,,,,,,
202604252100,1.517,2.699,0.700,0.482,2.699,0.700,2.699,0.700,2.699
202604252106,1.524,2.728,,,,,,,
202604252112,1.531,2.699,,,,,,,
202604252118,1.538,2.709,,,,,,,
202604252124,1.545,2.689,,,,,,,
202604252130,1.552,2.669,,,,,,,
202604252136,1.559,2.650,,,,,,,
202604252142,1.565,2.660,,,,,,,
202604252148,1.572,2.660,,,,,,,
202604252154,1.578,2.630,,,,,,,
202604252200,1.584,2.620,0.700,0.336,2.620,0.700,2.620,0.800,2.720
202604252206,1.590,2.578,,,,,,,
202604252212,1.595,2.538,,,,,,,
202604252218,1.600,2.499,,,,,,,
202604252224,1.604,2.450,,,,,,,
202604252230,1.608,2.420,,,,,,,
202604252236,1.612,2.377,,,,,,,
202604252242,1.614,2.338,,,,,,,
202604252248,1.617,2.299,,,,,,,
202604252254,1.619,2.250,,,,,,,
202604252300,1.620,2.210,0.700,-0.110,2.210,0.700,2.210,0.800,2.310
202604252306,1.620,2.177,,,,,,,
202604252312,1.620,2.128,,,,,,,
202604252318,1.619,2.099,,,,,,,
202604252324,1.618,2.079,,,,,,,
202604252330,1.616,2.049,,,,,,,
202604252336,1.613,2.020,,,,,,,
202604252342,1.609,1.981,,,,,,,
202604252348,1.605,1.967,,,,,,,
202604252354,1.600,1.948,,,,,,,
202604260000,1.595,1.938,0.800,-0.457,1.938,0.800,1.938,0.900,2.038
202604260006,1.589,1.958,,,,,,,
202604260012,1.583,1.967,,,,,,,
202604260018,1.576,1.958,,,,,,,
202604260024,1.569,1.981,,,,,,,
202604260030,1.561,1.967,,,,,,,
202604260036,1.553,1.958,,,,,,,
202604260042,1.544,1.958,,,,,,,
202604260048,1.536,1.958,,,,,,,
202604260054,1.527,1.948,,,,,,,
202604260100,1.518,1.981,0.800,-0.337,1.981,0.800,1.981,0.900,2.081
202604260106,1.508,2.000,,,,,,,
202604260112,1.499,2.020,,,,,,,
202604260118,1.490,2.040,,,,,,,
202604260124,1.480,2.049,,,,,,,
202604260130,1.471,2.069,,,,,,,
202604260136,1.462,2.079,,,,,,,
202604260142,1.452,2.079,,,,,,,
202604260148,1.443,2.089,,,,,,,
202604260154,1.434,2.109,,,,,,,
202604260200,1.426,2.089,0.800,-0.137,2.089,0.800,2.089,0.900,2.189
202604260206,1.417,2.069,,,,,,,
202604260212,1.408,2.079,,,,,,,
202604260218,1.400,2.059,,,,,,,
202604260224,1.392,2.079,,,,,,,
202604260230,1.384,2.079,,,,,,,
202604260236,1.377,2.059,,,,,,,
202604260242,1.369,2.059,,,,,,,
202604260248,1.362,2.059,,,,,,,
202604260254,1.354,2.040,,,,,,,
202604260300,1.347,2.010,0.800,-0.137,2.010,0.800,2.010,0.900,2.110
202604260306,1.340,1.990,,,,,,,
202604260312,1.333,1.958,,,,,,,
202604260318,1.326,1.948,,,,,,,
202604260324,1.318,1.928,,,,,,,
202604260330,1.311,1.918,,,,,,,
202604260336,1.304,1.918,,,,,,,
202604260342,1.296,1.899,,,,,,,
202604260348,1.289,1.889,,,,,,,
202604260354,1.281,1.869,,,,,,,
202604260400,1.272,1.859,0.800,-0.213,1.859,0.800,1.859,0.900,1.959
202604260406,1.264,1.859,,,,,,,
202604260412,1.255,1.869,,,,,,,
202604260418,1.246,1.869,,,,,,,
202604260424,1.237,1.879,,,,,,,
202604260430,1.227,1.879,,,,,,,
202604260436,1.216,1.889,,,,,,,
202604260442,1.206,1.899,,,,,,,
202604260448,1.195,1.918,,,,,,,
202604260454,1.183,1.918,,,,,,,
202604260500,1.171,1.889,0.800,-0.082,1.889,0.800,1.889,0.900,1.989
202604260506,1.158,1.879,,,,,,,
202604260512,1.145,1.889,,,,,,,
202604260518,1.132,1.889,,,,,,,
202604260524,1.118,1.869,,,,,,,
202604260530,1.103,1.859,,,,,,,
202604260536,1.089,1.820,,,,,,,
202604260542,1.073,1.800,,,,,,,
202604260548,1.058,1.758,,,,,,,
202604260554,1.042,1.718,,,,,,,
202604260600,1.025,1.708,0.800,-0.117,1.708,0.800,1.708,0.800,1.708
202604260606,1.009,1.679,,,,,,,
202604260612,0.991,1.639,,,,,,,
202604260618,0.974,1.610,,,,,,,
202604260624,0.956,1.590,,,,,,,
202604260630,0.939,1.571,,,,,,,
202604260636,0.920,1.538,,,,,,,
202604260642,0.902,1.518,,,,,,,
202604260648,0.884,1.489,,,,,,,
202604260654,0.865,1.479,,,,,,,
202604260700,0.847,1.439,0.800,-0.208,1.439,0.700,1.339,0.800,1.439
202604260706,0.828,1.420,,,,,,,
202604260712,0.810,1.400,,,,,,,
202604260718,0.791,1.390,,,,,,,
202604260724,0.773,1.371,,,,,,,
202604260730,0.755,1.328,,,,,,,
202604260736,0.737,1.298,,,,,,,
202604260742,0.719,1.269,,,,,,,
202604260748,0.701,1.269,,,,,,,
202604260754,0.684,1.239,,,,,,,
202604260800,0.667,1.200,0.700,-0.167,1.200,0.700,1.200,0.800,1.300
202604260806,0.650,1.190,,,,,,,
202604260812,0.634,1.180,,,,,,,
202604260818,0.618,1.170,,,,,,,
202604260824,0.603,1.138,,,,,,,
202604260830,0.588,1.088,,,,,,,
202604260836,0.573,1.098,,,,,,,
202604260842,0.560,1.088,,,,,,,
202604260848,0.547,1.088,,,,,,,
202604260854,0.534,1.098,,,,,,,
202604260900,0.522,1.098,0.700,-0.124,1.098,0.700,1.098,0.700,1.098
202604260906,0.511,1.088,,,,,,,
202604260912,0.500,1.098,,,,,,,
202604260918,0.490,1.098,,,,,,,
202604260924,0.481,1.088,,,,,,,
202604260930,0.473,1.079,,,,,,,
202604260936,0.465,1.088,,,,,,,
202604260942,0.458,1.088,,,,,,,
202604260948,0.451,1.079,,,,,,,
202604260954,0.446,1.088,,,,,,,
202604261000,0.440,1.088,0.700,-0.052,1.088,0.700,1.088,0.700,1.088
202604261006,0.436,1.088,,,,,,,
202604261012,0.432,1.088,,,,,,,
202604261018,0.429,1.098,,,,,,,
202604261024,0.427,1.108,,,,,,,
202604261030,0.425,1.108,,,,,,,
202604261036,0.424,1.108,,,,,,,
202604261042,0.423,1.118,,,,,,,
202604261048,0.423,1.118,,,,,,,
202604261054,0.423,1.128,,,,,,,
202604261100,0.424,1.138,0.700,0.014,1.138,0.700,1.138,0.700,1.138
202604261106,0.425,1.151,,,,,,,
202604261112,0.427,1.161,,,,,,,
202604261118,0.430,1.170,,,,,,,
202604261124,0.432,1.180,,,,,,,
202604261130,0.435,1.180,,,,,,,
202604261136,0.439,1.190,,,,,,,
202604261142,0.443,1.190,,,,,,,
202604261148,0.447,1.200,,,,,,,
202604261154,0.452,1.220,,,,,,,
202604261200,0.457,1.220,0.600,0.163,1.220,0.600,1.220,0.600,1.220
202604261206,0.462,1.229,,,,,,,
202604261212,0.468,1.239,,,,,,,
202604261218,0.474,1.249,,,,,,,
202604261224,0.480,1.249,,,,,,,
202604261230,0.487,1.239,,,,,,,
202604261236,0.495,1.249,,,,,,,
202604261242,0.503,1.259,,,,,,,
202604261248,0.511,1.269,,,,,,,
202604261254,0.520,1.279,,,,,,,
202604261300,0.529,1.289,0.600,0.160,1.289,0.600,1.289,0.600,1.289
202604261306,0.538,1.298,,,,,,,
202604261312,0.549,1.308,,,,,,,
202604261318,0.559,1.318,,,,,,,
202604261324,0.571,1.328,,,,,,,
202604261330,0.583,1.338,,,,,,,
202604261336,0.595,1.328,,,,,,,
202604261342,0.608,1.348,,,,,,,
202604261348,0.622,1.361,,,,,,,
202604261354,0.636,1.371,,,,,,,
202604261400,0.650,1.380,0.600,0.130,1.380,0.600,1.380,0.600,1.380
202604261406,0.666,1.380,,,,,,,
202604261412,0.681,1.380,,,,,,,
202604261418,0.698,1.390,,,,,,,
202604261424,0.715,1.410,,,,,,,
202604261430,0.732,1.430,,,,,,,
202604261436,0.750,1.439,,,,,,,
202604261442,0.768,1.449,,,,,,,
202604261448,0.786,1.400,,,,,,,
202604261454,0.805,1.400,,,,,,,
